item_name,current_price,old_price_element,item_discount_element,item_link,discount
"Fashion Shoes, Soft Sole Non-Slip Casual Official Men Shoes, Slip-On, Women Shoes",1099.0,0.0,45.0,/shoes-soft-sole-non-slip-casual-official-men-shoes-slip-on-women-shoes-fashion-mpg1239419.html,45.0
Fluffy Duvet Gray,4200.0,0.0,24.0,/generic-fluffy-duvet-gray-80410635.html,24.0
"Solar Light Split Solar Wall Lamp With Led, Motion Sensor, Waterproof, Patio ,garden, Pathway",1950.0,0.0,44.0,/split-solar-wall-lamp-with-74-led-motion-sensor-waterproof-patio-garden-pathway-solar-lamps-mpg400957.html,44.0
2.4G Wireless Charging Mouse Black  Emit Seven Colors Of Light,490.0,,30.0,/generic-2.4g-wireless-charging-mouse-black-emit-seven-colors-of-light-151594998.html,30.0
C Idea 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard Adults Tablet PC(Green),14695.0,99.0,36.0,/c-idea-10-inches-android-12-sim-8gb512gb-storage-keyboard-adults-tablet-pcgreen-160566753.html,36.0
Fashion 1 Pair Women Girls Fashion Elegant Shiny Rhinestones Ear-,72.0,,50.0,/fashion-1-pair-women-girls-fashion-elegant-shiny-rhinestones-ear-48039827.html,50.0
"Samsung Galaxy A14, 6.6"", 128GB + 4GB, 50MP, Dual SIM, 5000mAh, Green + Smart Watch & Earbuds",26999.0,99.0,25.0,/galaxy-a14-6.6-128gb-4gb-50mp-dual-sim-5000mah-green-smart-watch-earbuds-samsung-mpg464319.html,25.0
"Samsung Galaxy A14, 6.6"", 128GB + 4GB RAM, 50MP, Dual SIM, 5000mAh, Silver",26999.0,99.0,25.0,/galaxy-a14-6.6-64gb-4gb-50mp-dual-sim-5000mah-silver-samsung-mpg1520890.html,25.0
Fashion Platinum Plated Zircon Sunflower Pendant,260.0,,13.0,/fashion-platinum-plated-zircon-sunflower-pendant-63981842.html,13.0
Fashion 4 In 1 Women Bag Crossbody Bag Handbag Tote Hobo Bag Purse  Female Shoulder Bag Wallet,899.0,9.0,36.0,/fashion-4-in-1-women-bag-crossbody-bag-handbag-tote-hobo-bag-purse-female-shoulder-bag-wallet-38756345.html,36.0
Fashion Beautiful Sparkly Grey Flower Maxi Dera Dress(Size8/10/12,699.0,0.0,36.0,/fashion-beautiful-sparkly-grey-flower-maxi-dera-dresssize81012-43462112.html,36.0
Fashion 4 In 1 Women Bag Crossbody Bag Handbag Tote Hobo Bag Purse  Female Shoulder Bag Wallet,899.0,9.0,36.0,/fashion-4-in-1-women-bag-crossbody-bag-handbag-tote-hobo-bag-purse-female-shoulder-bag-wallet-38756334.html,36.0
Fashion Fashionable Ladies Top Soft Light Fluffy Boots,1800.0,0.0,40.0,/fashionable-ladies-top-soft-light-fluffy-boots-fashion-mpg344817.html,40.0
Mara Ashwagandha Root Powder 100g,800.0,0.0,33.0,/mara-ashwagandha-root-powder-100g-19355052.html,33.0
Huawei Huawei512GB MicroSDCard Class10 UHS-1TFMemory Card,1295.0,0.0,38.0,/huawei-huawei512gb-microsdcard-class10-uhs-1tfmemory-card-79056735.html,38.0
Skilltech 15-55 Inch Tilting TV Wall Mount Bracket,837.0,0.0,40.0,/skilltech-15-55-inch-tilting-tv-wall-mount-bracket-89455942.html,40.0
"Oppo A78, 4G, 6.43"", 256GB + 8GB + 8GB RAM (Dual SIM), 5000mAh, Mist Black + Smart Watch & Power Bank",34699.0,99.0,31.0,/oppo-a78-4g-6.43-256gb-8gb-8gb-ram-dual-sim-5000mah-mist-black-smart-watch-power-bank-157607871.html,31.0
Fashion Mens Casual Bomber Business Lightweight Casual Jackets Blazers Trench Coats,1020.0,8.0,35.0,/fashion-mens-casual-bomber-business-lightweight-casual-jackets-blazers-trench-coats-57561076.html,35.0
Phone Vlog Video Kit With Height Adjustable Tripod,2770.0,3.0,46.0,/generic-phone-vlog-video-kit-with-height-adjustable-tripod-75664186.html,46.0
Jbl High Quality Jbl TWS-4 Ideal Truly Wireless,1000.0,0.0,33.0,/high-quality-jbl-tws-4-ideal-truly-wireless-jbl-mpg680690.html,33.0
Bluetooth Earphone In-ear Wireless Sports,800.0,9.0,33.0,/generic-bluetooth-earphone-in-ear-wireless-sports-93417229.html,33.0
Knife Sharpeners Kitchen Sharpener Three Stages Black & Red,449.0,,36.0,/generic-knife-sharpeners-kitchen-sharpener-three-stages-black-red-140358998.html,36.0
"Oraimo Watch 3 Pro, 1.83'' Touch, BT Call Smart Watch",5999.0,0.0,40.0,/oraimo-watch-3-pro-1.83-touch-bt-call-smart-watch-153895140.html,40.0
Bebe  KIDS STUDY TABLET WITH SIMCARD SLOT,9850.0,0.0,30.0,/bebe-kids-study-tablet-with-simcard-slot-161069340.html,30.0
PRO4 High Quality Bluetooth Earphone Purple,560.0,,35.0,/generic-pro4-high-quality-bluetooth-earphone-purple-156638095.html,35.0
Fashion Luminous Fire Dragon Pendant Necklace Glow In Dark,228.0,,26.0,/fashion-luminous-fire-dragon-pendant-necklace-glow-in-dark-48005744.html,26.0
Horizon Instant Hot Water Shower For Fresh/Salty,1280.0,0.0,45.0,/horizon-instant-hot-water-shower-for-freshsalty-87752779.html,45.0
Skmei Smart Watches Bluetooth Waterproof Fitness,2299.0,0.0,23.0,/skmei-smart-watches-bluetooth-waterproof-fitness-75835919.html,23.0
MK TV Guard  + Fridge Guard For Samsung Double Door Fridge+ A FREE 5 Way Extension,1800.0,0.0,10.0,/mk-tv-guard-fridge-guard-for-samsung-double-door-fridge-a-free-5-way-extension-151235314.html,10.0
Geisha Moringa Oil Soap 225G,151.0,,10.0,/geisha-moringa-oil-soap-225g-122456179.html,10.0
Afrie 2.4GHz Wireless Rechargeable Mouse Slient Mouse 2,369.0,,50.0,/afrie-2.4ghz-wireless-rechargeable-mouse-slient-mouse-2-123367488.html,50.0
"Tecno Spark 10 Pro, 6.8"" , 256GB + Up To  16GB RAM, 50MP, Dual SIM, 5000mAh -  Lunar Eclipse + Free Gifts",26499.0,99.0,26.0,/tecno-spark-10-pro-6.8-256gb-up-to-16gb-ram-50mp-dual-sim-5000mah-lunar-eclipse-free-gifts-157101652.html,26.0
Vitron HD Frameless 32 Inch Digital LED TV WithInbuilt Decoder+BRACKET+GUARD,13850.0,0.0,42.0,/hd-frameless-32-inch-digital-led-tv-withinbuilt-decoderbracketguard-vitron-mpg1522039.html,42.0
P47 Bluetooth Wireless Headphone+ Bluetooth Earpods +Selfie Stick,1330.0,0.0,11.0,/p47-bluetooth-wireless-headphone-bluetooth-earpods-selfie-stick-151329419.html,11.0
Front Load Washing Machine Cover Waterproof/Dustproof & Sunproof.,1278.0,8.0,42.0,/generic-front-load-washing-machine-cover-waterproofdustproof-sunproof.-78282862.html,42.0
Fashion 3PCs Desire Eyelash Soft Lace French Thong Panties,589.0,,30.0,/fashion-3pcs-desire-eyelash-soft-lace-french-thong-panties-47979974.html,30.0
Nunix 2200W Blow Dry Hair Dryer,1790.0,0.0,11.0,/nunix-2200w-blow-dry-hair-dryer-102592328.html,11.0
Sony PS4 Pad Dual Shock 4 - Wireless Controller,2936.0,0.0,41.0,/sony-ps4-pad-dual-shock-4-wireless-controller-103990535.html,41.0
"Sokany AMAZING HOME POPCORN MAKER MACHINE,.",3587.0,0.0,20.0,/sokany-amazing-home-popcorn-maker-machine.-131218885.html,20.0
Fashion Boobtape Booby Tape Bra Invisible Bra 5x5cm_Black,495.0,,38.0,/fashion-boobtape-booby-tape-bra-invisible-bra-5x5cmblack-79374763.html,38.0
Skmei Men's Watches LED Digital Watch Black Sport,1099.0,3.0,42.0,/skmei-mens-watches-led-digital-watch-black-sport-29222183.html,42.0
Fashion Women\'s Fashion 925 Sterling Silver Heart Round Zircon Ear-,101.0,,50.0,/fashion-womens-fashion-925-sterling-silver-heart-round-zircon-ear-47864047.html,50.0
Ediko Black 6 Panel Sports Hat - Mesh Men's Baseball Cap,799.0,0.0,33.0,/ediko-black-6-panel-sports-hat-mesh-mens-baseball-cap-43707461.html,33.0
Fashion 1 Pair Couple Bracelet Chic Adjustable Resin Key Heart-Black,111.0,,50.0,/fashion-1-pair-couple-bracelet-chic-adjustable-resin-key-heart-black-51557512.html,50.0
Fashion Boots Women's Flat Shoes-black,1090.0,0.0,36.0,/fashion-boots-womens-flat-shoes-black-125910576.html,36.0
New SmartWatch Bluetooth Calls Fitness Bracelet Waterproof,1105.0,9.0,44.0,/generic-new-smartwatch-bluetooth-calls-fitness-bracelet-waterproof-151081873.html,44.0
Back Posture Corrector Belt Men Women Back Posture Corrector Shoulder Support Bel,650.0,0.0,46.0,/generic-back-posture-corrector-belt-men-women-back-posture-corrector-shoulder-support-bel-68406206.html,46.0
"Fashion Shoes, Soft Sole Non-Slip Casual Official Men Shoes, Slip-On, Women Shoes",1099.0,0.0,45.0,/shoes-soft-sole-non-slip-casual-official-men-shoes-slip-on-women-shoes-fashion-mpg1239419.html,45.0
Fluffy Duvet Gray,4200.0,0.0,24.0,/generic-fluffy-duvet-gray-80410635.html,24.0
"Samsung Galaxy A03 Core, 6.5"", (Dual SIM) 32GB + 2GB RAM, 5000mAh_ Black + Smart Watch",12699.0,99.0,40.0,/galaxy-a03-core-6.5-dual-sim-32gb-2gb-ram-5000mah-black-smart-watch-samsung-mpg1520953.html,40.0
2.4G Wireless Charging Mouse Black  Emit Seven Colors Of Light,490.0,,30.0,/generic-2.4g-wireless-charging-mouse-black-emit-seven-colors-of-light-151594998.html,30.0
C Idea 10 Inches Android 12 Sim 8GB+512GB Storage Keyboard Adults Tablet PC(Green),14695.0,99.0,36.0,/c-idea-10-inches-android-12-sim-8gb512gb-storage-keyboard-adults-tablet-pcgreen-160566753.html,36.0
Fashion 1 Pair Women Girls Fashion Elegant Shiny Rhinestones Ear-,72.0,,50.0,/fashion-1-pair-women-girls-fashion-elegant-shiny-rhinestones-ear-48039827.html,50.0
"Samsung Galaxy A14, 6.6"", 128GB + 4GB, 50MP, Dual SIM, 5000mAh, Green + Smart Watch & Earbuds",26999.0,99.0,25.0,/galaxy-a14-6.6-128gb-4gb-50mp-dual-sim-5000mah-green-smart-watch-earbuds-samsung-mpg464319.html,25.0
"Samsung Galaxy A14, 6.6"", 128GB + 4GB RAM, 50MP, Dual SIM, 5000mAh, Silver",26999.0,99.0,25.0,/galaxy-a14-6.6-64gb-4gb-50mp-dual-sim-5000mah-silver-samsung-mpg1520890.html,25.0
Maybelline Fit Me Matte And Poreless Foundation -312 GOLDEN,1275.0,0.0,25.0,/maybelline-fit-me-matte-and-poreless-foundation-312-golden-7085961.html,25.0
Fashion Platinum Plated Zircon Sunflower Pendant,260.0,,13.0,/fashion-platinum-plated-zircon-sunflower-pendant-63981842.html,13.0
Fashion 4 In 1 Women Bag Crossbody Bag Handbag Tote Hobo Bag Purse  Female Shoulder Bag Wallet,899.0,9.0,36.0,/fashion-4-in-1-women-bag-crossbody-bag-handbag-tote-hobo-bag-purse-female-shoulder-bag-wallet-38756345.html,36.0
Fashion Bracelet Wooden Bead Vintage Jewelry Copper Coin Pendant Bangle For Unisex,99.0,,48.0,/fashion-bracelet-wooden-bead-vintage-jewelry-copper-coin-pendant-bangle-for-unisex-43163175.html,48.0
Fashion 4PCS Sexiest Strappy Master Lace Panties - White,799.0,0.0,20.0,/4pcs-sexiest-strappy-master-lace-panties-white-fashion-mpg422794.html,20.0
Beefeater Beefeater London Pink Gin - 750ML,2599.0,0.0,15.0,/beefeater-beefeater-london-pink-gin-750ml-58537872.html,15.0
Fashion Handbags Ladies Bags ToteBag,899.0,9.0,25.0,/fashion-handbags-ladies-bags-totebag-153634913.html,25.0
Bebe  KIDS STUDY TABLETS 64GB/4GB.,9899.0,0.0,34.0,/bebe-kids-study-tablets-64gb4gb.-160111302.html,34.0
Fashion Ladies Shoes Women Shoes Sandals Mid Heels Slippers 2 Ways To Wear,899.0,6.0,49.0,/fashion-ladies-shoes-women-shoes-sandals-mid-heels-slippers-2-ways-to-wear-153632721.html,49.0
Blue Light Blocking Glasses Anti Blue Light Glasses UV Computer Glasses,649.0,0.0,46.0,/generic-blue-light-blocking-glasses-anti-blue-light-glasses-uv-computer-glasses-79086138.html,46.0
Diecast Die Cast Non Stick Cooking Pots 10 Pieces With Pan.,16994.0,0.0,15.0,/diecast-die-cast-non-stick-cooking-pots-10-pieces-with-pan.-139108039.html,15.0
Vitron 3.1CH10000watts Ac/dc Fm/bt/usb Sub Woofer System,5675.0,9.0,2.0,/3.1ch-10000watts-bluetooth-sub-woofer-systemacdc-fmbtusb-vitron-mpg1532353.html,2.0
Velvex Disinfectant Spray Lavender 530ml,188.0,,25.0,/velvex-disinfectant-spray-lavender-530ml-43994810.html,25.0
Fashion 3 PCS Women Bags Ladies Bags Handbags Purse Shoulder Bags Tote Bags Hobo Bags,1299.0,9.0,37.0,/fashion-3-pcs-women-bags-ladies-bags-handbags-purse-shoulder-bags-tote-bags-hobo-bags-55648699.html,37.0
Dove 2PCS Purely Pampering Shower Gel/Body Wash 500ml,1740.0,0.0,30.0,/2pcs-purely-pampering-shower-gelbody-wash-500ml-dove-mpg1157663.html,30.0
Wireless BLUETOOTH RECHARGEABLE MOUSE,695.0,0.0,37.0,/wireless-bluetooth-rechargeable-mouse-126326002.html,37.0
 Foldable/Portable Clothes Drying And Hanging Rack,3095.0,9.0,48.0,/generic-foldableportable-clothes-drying-and-hanging-rack-153931085.html,48.0
Microkingdom Computer USB Keyboard MK620,499.0,,17.0,/computer-usb-keyboardget-free-usb-mouse-microkingdom-mpg263353.html,17.0
Velvex White Standard Serviettes 100 Sheets,119.0,,15.0,/velvex-white-standard-serviettes-100-sheets-22278112.html,15.0
Fashion Casual Unisex Letter Graphic Warm Sweater Sweatshirt,799.0,,20.0,/fashion-casual-unisex-letter-graphic-warm-sweater-sweatshirt-74794757.html,20.0
Hot Crush Padded Hip Up Booty Booster Biker Sexy Butt' Lifter Boyshorts Mid Rise Curvy Hips Butt Enhancer.,1098.0,8.0,31.0,/generic-hot-crush-padded-hip-up-booty-booster-biker-sexy-butt-lifter-boyshorts-mid-rise-curvy-hips-butt-enhancer.-161832943.html,31.0
C15 Portable SUPER BASS Bluetooth Speaker With FM/USB,1399.0,8.0,50.0,/portable-super-bass-bluetooth-speaker-with-fmusb-c15-mpg1303312.html,50.0
"Vitron HTC3200S,Frameless 32"" Inch Television Smart Android TV+WallBracket+FLASH DISK",15699.0,0.0,19.0,/vitron-htc3200sframeless-32-inch-television-smart-android-tvwallbracketflash-disk-31671201.html,19.0
Oraimo OTW-330 FreePods Lite Earbuds,1999.0,0.0,43.0,/oraimo-otw-330-freepods-lite-earbuds-151674895.html,43.0
Mara Ayurvedic Oil Infusion -120 Ml,650.0,,19.0,/mara-ayurvedic-oil-infusion-120-ml-17791980.html,19.0
"Bluetooth Selfie Stick, 360° Rotating Up To 100CM",650.0,0.0,46.0,/generic-bluetooth-selfie-stick-360-rotating-up-to-100cm-35325243.html,46.0
"P47 Wireless Bluetooth Headphones//C.E""",650.0,0.0,35.0,/p47-wireless-bluetooth-headphonesc.e-64516008.html,35.0
Fashion Mens Buckle Comfortable Belt - BLACK,390.0,,22.0,/fashion-mens-buckle-comfortable-belt-black-69902795.html,22.0
"Tecno Spark 10 Pro, 6.8"" , 128GB + 8GB, 50MP, Dual SIM, 5000mAh - White + Magnifier, Earpods & Smart Watch",23399.0,99.0,42.0,/spark-10-pro-6.8-128gb-8gb-50mp-dual-sim-5000mah-white-magnifier-earpods-smart-watch-tecno-mpg1520978.html,42.0
"Infinix Hot 30 Play, 6.82"",8GB RAM,128GB,6000mAh,(DUAL SIM),4G -BLACK+CRAZY GIFTS/CY/,",19499.0,0.0,22.0,/infinix-hot-30-play-6.828gb-ram128gb6000mahdual-sim4g-blackcrazy-giftscy-133058649.html,22.0
Wearable Electric Breast Pump Portable Hands Free (180ml,3850.0,7.0,33.0,/generic-wearable-electric-breast-pump-portable-hands-free-180ml-127935290.html,33.0
Coffee Table Bedside Table Storage Cabinet 50*30*30CM,3200.0,7.0,48.0,/generic-coffee-table-bedside-table-storage-cabinet-503030cm-153241576.html,48.0
"Remote Controlled LED Strip Light 5m,plus FREE Adapter",999.0,0.0,33.0,/generic-remote-controlled-led-strip-light-5mplus-free-adapter-102038360.html,33.0
Cosrx Advanced Snail Mucin 96 Power Essence,3300.0,0.0,20.0,/made-in-korea-advanced-snail-mucin-96-power-essence-cosrx-mpg446309.html,20.0
Fashion 4PACK Finest Quality Long Lasting Brief Boxers,995.0,0.0,34.0,/fashion-4pack-finest-quality-long-lasting-brief-boxers-29926995.html,34.0
7 Colors RGB Mini Bluetooth Wireless Keyboard With Touchpad For TV Box,649.0,3.0,47.0,/generic-7-colors-rgb-mini-bluetooth-wireless-keyboard-with-touchpad-for-tv-box-153773497.html,47.0
1.5M Digital Optical Fiber Toslink Audio Cable,299.0,,14.0,/1.5m-digital-optical-fiber-toslink-audio-cable-generic-mpg1288777.html,14.0
"Tecno Spark 10, 6.6"",128GB + 8GB, 50MP, Dual SIM, 5000mAh + Smart Watch & Power Bank",20899.0,99.0,20.0,/spark-10-6.6128gb-8gb-50mp-dual-sim-5000mah-smart-watch-power-bank-tecno-mpg1521000.html,20.0
4 Liner Electric Lunchbox Cooker.,4497.0,0.0,18.0,/generic-4-liner-electric-lunchbox-cooker.-142573418.html,18.0
Power King 6 Way Extension Cable.,490.0,,35.0,/power-king-6-way-extension-cable.-19281531.html,35.0
Air Pro 3 Bluetooth Earphone Earbuds Stereo Sound Touch Sensor Control,882.0,8.0,36.0,/generic-air-pro-3-bluetooth-earphone-earbuds-stereo-sound-touch-sensor-control-65851785.html,36.0
5kg Dumbbell Weight Set Pair,1739.0,0.0,42.0,/generic-5kg-dumbbell-weight-set-pair-72907490.html,42.0
Solar Street Light Flood Light Outdoor,950.0,5.0,46.0,/generic-solar-street-light-flood-light-outdoor-45880178.html,46.0
NIVEA Moisturising Sun Lotion SPF 50+ - 200ml,2078.0,0.0,25.0,/nivea-moisturising-sun-lotion-spf-50-200ml-68528039.html,25.0
7 Colors RGB Mini Wireless Keyboard 2.4G USB Small Keyboard With Touchpad,709.0,3.0,47.0,/generic-7-colors-rgb-mini-wireless-keyboard-2.4g-usb-small-keyboard-with-touchpad-140939408.html,47.0
Mosquito Net With Metallic 4 PCS Stands Cream.,1350.0,0.0,46.0,/generic-mosquito-net-with-metallic-4-pcs-stands-cream.-140945569.html,46.0
Dove Original Beauty Bar Soap.,349.0,,50.0,/dove-original-beauty-bar-soap.-155892655.html,50.0
"1.98"" Full Touch Smart Watch Sport Health BT Call",2140.0,7.0,37.0,/generic-1.98-full-touch-smart-watch-sport-health-bt-call-107617108.html,37.0
Fashion 6 Pack Ladies Panties-lace Cotton,1341.0,8.0,10.0,/fashion-6-pack-ladies-panties-lace-cotton-65163894.html,10.0
Fashion Backpack Bags Women's Handbags,699.0,,30.0,/fashion-backpack-bags-womens-handbags-155085093.html,30.0
Tisa Nyota Ladies Handbags PU Leather Bucket Bags 4 In 1-Pink,1100.0,0.0,27.0,/tisa-nyota-ladies-handbags-pu-leather-bucket-bags-4-in-1-pink-69840835.html,27.0
Fashion Men's Shoes High Top Martin Boots-brown,1999.0,0.0,26.0,/fashion-mens-shoes-high-top-martin-boots-brown-125910552.html,26.0
"Apple USB-C / Type-C Fast Charger, Adapter And Cable/For IPhone",1989.0,9.0,20.0,/apple-usb-c-type-c-fast-charger-adapter-and-cablefor-iphone-121658414.html,20.0
Power King 6 Way Quality Extension Socket With A 3Meter Cable.,452.0,,36.0,/power-king-6-way-quality-extension-socket-with-a-3meter-cable.-129538135.html,36.0
"XIAOMI Redmi 12C, 6.71"", 3GB + 64GB, 50MP, 5000mAh, Grey + Free Gifts",15499.0,99.0,23.0,/redmi-12c-6.71-3gb-64gb-50mp-5000mah-grey-free-gifts-xiaomi-mpg1521330.html,23.0
5By8 Soft Chocolate Fluffy Carpets Non-slip Rugs Floor Mat,2650.0,0.0,41.0,/generic-5by8-soft-chocolate-fluffy-carpets-non-slip-rugs-floor-mat-115257567.html,41.0
4Pcs Washing Machine Antivibration Anti Vibration Pads Shock And Noise Cancellation Pads,580.0,,27.0,/generic-4pcs-washing-machine-antivibration-anti-vibration-pads-shock-and-noise-cancellation-pads-78969560.html,27.0
WNGREAT Professional Double Tank 6L+ 6L Stainless Steel Deep Fryer,16000.0,0.0,16.0,/wngreat-professional-double-tank-6l-6l-stainless-steel-deep-fryer-140336579.html,16.0
Sierra Round Nesting Table Set-2pcs Set,8999.0,0.0,40.0,/generic-sierra-round-nesting-table-set-2pcs-set-97867514.html,40.0
Dessini Multifunctional Electric Pressure Cooker With Timer,6640.0,0.0,34.0,/dessini-multifunctional-electric-pressure-cooker-with-timer-71970341.html,34.0
"Oraimo Strong Bass Earphones + Extra Airpods , Smart Watch",1900.0,0.0,13.0,/oraimo-strong-bass-earphones-extra-airpods-smart-watch-155209699.html,13.0
"12 PCS Christmas Decoration Ornaments Bowknot Back Golden Twist Tie, Height: 6cm (12pcs In One Packaging, The Price Is For 12pcs)(Red)",299.0,,40.0,/generic-12-pcs-christmas-decoration-ornaments-bowknot-back-golden-twist-tie-height-6cm-12pcs-in-one-packaging-the-price-is-for-12pcsred-97890095.html,40.0
Nice & Lovely Aloe Vera Herbal Lotion 600ml,385.0,,10.0,/nice-lovely-aloe-vera-herbal-lotion-600ml-60026980.html,10.0
WNGREAT Professional Double Tank 6L+ 6L Stainless Steel Deep Fryer,15500.0,0.0,18.0,/wngreat-professional-double-tank-6l-6l-stainless-steel-deep-fryer-140336762.html,18.0
Baby Care Baby Grooming Nursery Care Kit Portable,870.0,0.0,28.0,/baby-grooming-nursery-care-kit-portable-baby-care-mpg259780.html,28.0
Fashion Women Polka Dot Print Patchwork Long Dress Casual Short Sleeve O-Neck High Waist Black,1049.0,3.0,16.0,/fashion-women-polka-dot-print-patchwork-long-dress-casual-short-sleeve-o-neck-high-waist-black-151384094.html,16.0
Multicolour Lights For Christmas Led 100 Bulbs In 10mtrs,689.0,0.0,37.0,/generic-multicolour-lights-for-christmas-led-100-bulbs-in-10mtrs-107996400.html,37.0
Bluetooth Earphone In-ear Wireless Sports,800.0,9.0,33.0,/generic-bluetooth-earphone-in-ear-wireless-sports-93417229.html,33.0
Knife Sharpeners Kitchen Sharpener Three Stages Black & Red,449.0,,36.0,/generic-knife-sharpeners-kitchen-sharpener-three-stages-black-red-140358998.html,36.0
"Oraimo Watch 3 Pro, 1.83'' Touch, BT Call Smart Watch",5999.0,0.0,40.0,/oraimo-watch-3-pro-1.83-touch-bt-call-smart-watch-153895140.html,40.0
Bebe  KIDS STUDY TABLET WITH SIMCARD SLOT,9850.0,0.0,30.0,/bebe-kids-study-tablet-with-simcard-slot-161069340.html,30.0
PRO4 High Quality Bluetooth Earphone Purple,560.0,,35.0,/generic-pro4-high-quality-bluetooth-earphone-purple-156638095.html,35.0
Fashion Luminous Fire Dragon Pendant Necklace Glow In Dark,228.0,,26.0,/fashion-luminous-fire-dragon-pendant-necklace-glow-in-dark-48005744.html,26.0
Skmei Smart Watches Bluetooth Waterproof Fitness,2299.0,0.0,23.0,/skmei-smart-watches-bluetooth-waterproof-fitness-75835919.html,23.0
Fashion Titanium Couple Ring Plated Blue Alloy Men Rings For Women,260.0,,48.0,/fashion-titanium-couple-ring-plated-blue-alloy-men-rings-for-women-59223707.html,48.0
"Bontel Honey 1.54""// Color Display Flip Phone//c,e",2450.0,0.0,2.0,/bontel-honey-1.54-color-display-flip-phonece-65743251.html,2.0
"Itel A18, 5.0"" , 1GB RAM+32GB ROM (Dual Sim) 2400mAh - Gray",6800.0,9.0,32.0,/itel-a18-5.0-1gb-ram32gb-rom-dual-sim-2400mah-gray-143292665.html,32.0
Kenpoly Plastic Pedal Dustbin 6 Liter (Grey),989.0,0.0,34.0,/kenpoly-plastic-pedal-dustbin-6-liter-grey-115780306.html,34.0
V8 Wrist Watches Men's Sport Waterproof Quartz Watch - Black,590.0,0.0,48.0,/generic-v8-wrist-watches-mens-sport-waterproof-quartz-watch-black-110892698.html,48.0
Phoenix 100W Solar Panel Fullkit + 80AH Solar Battery + 300W Solar Inverter + 10AH Solar Charge Controller + 5 DC Bulbs + 10M Cable : 25 Years Warranty,11990.0,0.0,46.0,/phoenix-100w-solar-panel-fullkit-80ah-solar-battery-300w-solar-inverter-10ah-solar-charge-controller-5-dc-bulbs-10m-cable-25-years-warranty-119291973.html,46.0
"Samsung Galaxy A04e, 6.5"", 32GB + 3GB RAM (Dual SIM), 5000mAh, Copper",13899.0,99.0,31.0,/samsung-galaxy-a04e-6.5-32gb-3gb-ram-dual-sim-5000mah-copper-123460634.html,31.0
Bebe  KIDS STUDY TABLET 6GB/256GB 5GSIM SLOT 10INCH UNBREAKABLE SCREEN,17888.0,0.0,25.0,/bebe-kids-study-tablet-6gb256gb-5gsim-slot-10inch-unbreakable-screen-162356790.html,25.0
"9D Subwoofer Speaker For Desktop , Laptop, TV",1390.0,0.0,44.0,/9d-subwoofer-speaker-for-desktop-laptop-tv-generic-mpg1459750.html,44.0
Fashion Boobtape Booby Tape Bra Invisible Bra 5x5cm,497.0,,45.0,/fashion-boobtape-booby-tape-bra-invisible-bra-5x5cm-153175908.html,45.0
Fashion Pack Of 3 Men's Printed T-shirts,1390.0,0.0,30.0,/fashion-pack-of-3-mens-printed-t-shirts-62724906.html,30.0
Fashion 4 In 1 Handbags Women Bags Ladies Bags Purse Tote Hobo Bag Shoulder Bag Sling Bag,899.0,8.0,44.0,/fashion-4-in-1-handbags-women-bags-ladies-bags-purse-tote-hobo-bag-shoulder-bag-sling-bag-38756375.html,44.0
Fashion Black Long-sleeved tshirt,1200.0,0.0,20.0,/fashion-black-long-sleeved-tshirt-25859758.html,20.0
Nunix Complete 9090A 5.1CH Deluxe Home Theater System,15999.0,0.0,41.0,/nunix-complete-9090a-5.1ch-deluxe-home-theater-system-67865195.html,41.0
"Tecno Spark 10 Pro, 6.8"" , 256GB + Up To  16GB RAM, 50MP, Dual SIM, 5000mAh -  Lunar Eclipse + FREEBIES",26999.0,99.0,33.0,/tecno-spark-10-pro-6.8-256gb-up-to-16gb-ram-50mp-dual-sim-5000mah-lunar-eclipse-freebies-157101668.html,33.0
Computer Backpack 3-Piece Set New Model  - Grey,1350.0,0.0,16.0,/generic-computer-backpack-3-piece-set-new-model-grey-151384058.html,16.0
"MK TV Guard + 4 Way Power Extension Cable + TV  Wall Mount Bracket 26""- 65""",1500.0,0.0,25.0,/mk-tv-guard-4-way-power-extension-cable-tv-wall-mount-bracket-26-65-64489149.html,25.0
Fashion Handbag Women Bag Ladies Underarm Bag Purse Messenger Shoulder Bag Sling,759.0,9.0,30.0,/fashion-handbag-women-bag-ladies-underarm-bag-purse-messenger-shoulder-bag-sling-63481886.html,30.0
5*8 Fluffy Carpets,2650.0,0.0,24.0,/generic-58-fluffy-carpets-115662064.html,24.0
Mxq PRO 4K Android 11.1 Smart TV Box- 1 GB/8 GB,3275.0,0.0,6.0,/mxq-pro-4k-android-11.1-smart-tv-box-1-gb8-gb-159036007.html,6.0
Oraimo FreePods 3C ENC Calling Noise Cancellation Long Playtime True Wireless Earbuds,3600.0,9.0,18.0,/oraimo-freepods-3c-enc-calling-noise-cancellation-long-playtime-true-wireless-earbuds-150077051.html,18.0
Men's Fashion Check Long Sleeve Shirt(yellow),1160.0,7.0,46.0,/generic-mens-fashion-check-long-sleeve-shirtyellow-156865386.html,46.0
TC 14Pcs Heavy Non-Stick Cooking Pot Sufuria Set,6830.0,0.0,32.0,/tc-14pcs-heavy-non-stick-cooking-pot-sufuria-set-61982583.html,32.0
32G Highly Compatible With TV Metal Flash Drive For PC,580.0,,10.0,/generic-32g-highly-compatible-with-tv-metal-flash-drive-for-pc-141408247.html,10.0
